,country_name,sex,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
189,Lebanon,Male,5.151,5.527,5.895,6.224,6.526,6.916,8.634,8.215,7.244,7.16,6.956
190,Lesotho,Female,14.173,14.485,14.439,14.843,15.127,15.384,16.431,16.833,15.449,15.117,14.945
191,Lesotho,Male,13.402,13.639,13.545,13.89,14.121,14.328,15.882,15.896,14.239,13.859,13.652
192,Liberia,Female,1.979,2.167,2.386,2.374,2.367,2.378,3.013,3.081,2.362,2.223,2.169
193,Liberia,Male,2.496,3.302,4.196,4.172,4.158,4.177,5.934,5.481,4.101,3.889,3.802
194,Libya,Female,21.631,21.985,21.711,21.222,21.075,21.228,21.69,21.917,21.725,21.21,20.827
195,Libya,Male,13.361,13.637,13.425,13.05,12.938,13.056,13.75,13.762,13.24,12.369,11.933
196,Lithuania,Female,8.457,7.478,6.18,5.224,5.066,5.219,7.043,6.07,5.149,6.13,5.917
197,Lithuania,Male,11.338,9.483,8.397,7.911,6.433,6.42,8.284,7.107,5.926,6.373,6.366
198,Luxembourg,Female,4.982,6.545,5.621,4.902,5.367,4.669,5.851,4.741,3.566,3.962,3.925
199,Luxembourg,Male,4.535,4.983,5.002,4.614,4.439,4.579,5.173,3.876,3.584,4.727,5.058
200,Macau,Female,1.187,1.377,1.328,1.339,1.03,1.081,1.879,1.598,1.856,1.31,0.892
201,Macau,Male,1.617,1.681,1.914,2.007,1.979,1.863,2.361,2.209,2.29,1.539,1.041
202,Madagascar,Female,1.024,1.315,1.3,1.298,1.303,1.304,1.565,1.677,1.446,1.389,1.357
203,Madagascar,Male,0.746,0.935,0.922,0.923,0.929,0.932,1.323,1.371,1.054,1.016,0.989
204,Malawi,Female,5.333,5.307,5.388,5.438,5.387,5.295,5.941,6.115,5.526,5.422,5.381
205,Malawi,Male,3.148,3.124,3.174,3.204,3.153,3.076,3.772,3.802,3.184,3.154,3.129
206,Malaysia,Female,1.521,1.622,2.354,2.114,1.824,1.605,3.163,2.671,2.58,2.502,2.467
207,Malaysia,Male,1.437,1.529,1.825,1.833,1.779,1.89,3.209,2.812,2.456,2.445,2.455
208,Maldives,Female,5.36,4.298,3.251,3.001,2.751,2.5,2.825,2.885,2.654,2.614,2.652
209,Maldives,Male,3.928,3.695,3.432,3.258,3.057,2.843,3.819,3.609,2.994,2.965,3.064
210,Mali,Female,1.116,0.993,0.945,1.101,1.266,1.515,1.791,1.743,2.437,2.486,2.473
211,Mali,Male,1.298,1.15,1.079,1.204,1.34,1.686,2.522,1.957,2.885,2.86,2.807
212,Malta,Female,4.135,4.542,4.097,3.299,2.946,3.414,4.031,2.708,2.3,2.359,2.416
213,Malta,Male,5.057,4.316,3.62,2.927,2.886,2.532,3.28,2.71,2.458,1.826,1.644
214,Mauritania,Female,10.207,9.667,9.28,8.746,10.468,12.016,12.47,12.946,12.579,12.376,12.21
215,Mauritania,Male,7.477,7.567,7.776,7.842,6.814,5.637,6.127,6.254,5.892,5.765,5.655
216,Mauritius,Female,7.368,7.145,7.087,6.511,6.308,6.818,7.623,6.418,6.63,5.445,4.681
217,Mauritius,Male,3.308,2.968,2.688,2.755,2.222,2.443,5.955,5.429,3.296,1.952,1.459
218,Mexico,Female,3.58,3.31,2.942,2.752,2.629,2.668,3.267,3.315,2.592,2.252,2.365
219,Mexico,Male,3.834,3.396,3.084,2.657,2.483,2.748,4.028,3.347,2.653,2.241,2.421
220,Moldova,Female,0.966,1.138,0.841,1.08,0.877,1.071,0.713,0.425,0.505,0.956,0.934
221,Moldova,Male,1.773,2.078,2.087,1.725,1.286,1.664,1.276,1.028,1.022,1.84,1.628
222,Mongolia,Female,3.35,3.106,4.312,4.131,3.549,4.159,5.16,6.177,4.536,3.665,3.285
223,Mongolia,Male,4.09,4.412,6.824,6.004,4.545,4.781,5.64,7.154,6.519,5.934,5.47
224,Montenegro,Female,16.63,15.606,15.197,15.326,14.315,14.784,16.519,14.426,13.801,13.166,12.856
225,Montenegro,Male,15.846,15.36,16.152,13.756,13.182,13.328,15.687,14.64,14.39,13.297,12.755
226,Morocco,Female,8.694,8.149,8.49,8.849,8.967,8.991,10.384,10.379,9.546,9.289,9.187
227,Morocco,Male,7.255,7.086,6.591,6.972,7.077,7.081,9.092,8.634,7.456,7.309,7.214
228,Mozambique,Female,2.264,2.365,2.428,2.504,2.577,2.615,2.697,3.021,2.709,2.653,2.645
229,Mozambique,Male,1.411,1.401,1.45,1.511,1.569,1.603,1.868,2.03,1.667,1.609,1.61
230,Myanmar,Female,0.607,0.632,0.829,1.094,0.697,0.255,1.289,3.534,2.151,2.15,2.118
231,Myanmar,Male,0.45,0.468,0.533,0.638,0.413,0.188,0.453,1.991,0.978,1.035,1.052
232,Namibia,Female,15.622,16.933,18.522,17.149,15.265,15.395,16.076,16.42,15.687,15.402,15.227
233,Namibia,Male,12.334,14.947,17.904,18.02,17.905,18.052,19.382,19.534,18.314,17.929,17.703
234,Nepal,Female,9.068,9.055,9.045,9.049,9.074,9.114,11.026,10.92,9.645,9.789,9.852
235,Nepal,Male,7.239,7.23,7.209,7.182,7.166,7.158,9.387,8.935,7.402,7.533,7.536
236,Netherlands,Female,6.681,6.473,5.75,4.539,3.412,2.787,2.947,3.58,2.964,2.858,2.776
237,Netherlands,Male,6.248,5.701,4.572,3.708,3.029,2.713,2.758,2.912,2.534,2.33,2.344
238,New Caledonia,Female,11.628,11.014,10.426,9.743,8.006,8.543,8.036,8.572,8.62,8.45,8.418
239,New Caledonia,Male,9.779,8.816,7.867,6.837,7.883,7.866,9.855,9.442,7.891,7.653,7.592
240,New Zealand,Female,4.564,4.444,4.059,3.793,3.337,3.172,3.682,2.804,2.543,2.755,2.961
241,New Zealand,Male,3.171,3.287,3.221,2.788,2.735,2.598,2.93,2.499,1.975,2.299,2.566
242,Nicaragua,Female,3.757,3.688,2.926,2.413,3.719,3.99,4.399,4.602,3.72,3.597,3.556
243,Nicaragua,Male,2.894,3.213,2.793,2.435,4.0,4.296,5.157,5.173,3.819,3.651,3.569
244,Niger,Female,0.431,0.47,0.467,0.478,0.458,0.457,0.488,0.873,0.483,0.449,0.404
245,Niger,Male,0.469,0.532,0.526,0.544,0.511,0.508,0.678,0.839,0.536,0.507,0.452
246,Nigeria,Female,2.255,2.454,2.782,3.084,3.298,3.407,4.555,5.624,5.099,4.652,4.482
247,Nigeria,Male,3.276,3.46,3.832,4.155,4.344,4.386,4.413,3.593,1.975,1.813,1.769
248,North Macedonia,Female,26.313,23.449,20.754,19.903,18.424,16.654,14.302,12.736,10.693,11.328,10.857
249,North Macedonia,Male,25.026,24.413,22.332,20.376,18.792,14.849,15.079,15.006,14.439,12.456,11.359
250,Norway,Female,2.682,3.249,3.067,2.876,2.767,2.452,3.155,2.863,2.073,2.147,2.075
251,Norway,Male,2.922,3.577,4.262,3.562,3.079,3.033,3.621,3.292,2.157,2.533,2.617
252,Palestine,Female,20.681,28.478,31.496,35.803,35.161,35.022,33.515,37.921,36.385,,
253,Palestine,Male,14.085,15.385,15.868,16.334,17.476,17.043,18.443,17.955,16.772,,
254,Oman,Female,9.136,9.986,10.671,8.476,6.252,6.851,8.877,4.816,4.228,4.254,4.282
255,Oman,Male,0.788,0.736,0.653,0.5,0.346,0.403,0.624,0.46,0.345,0.293,0.254
256,Pakistan,Female,1.245,4.816,2.067,2.892,3.722,5.301,4.875,7.099,6.327,6.528,6.696
257,Pakistan,Male,0.98,1.848,1.088,1.82,2.542,2.665,4.617,3.921,3.515,3.534,3.547
258,Panama,Female,4.2,3.68,4.24,4.82,4.51,5.5,15.085,8.16,7.61,7.093,6.931
259,Panama,Male,2.24,2.54,2.76,2.84,2.87,3.45,7.901,8.16,5.13,4.698,4.571
260,Papua New Guinea,Female,0.784,0.783,0.782,0.83,0.863,0.874,0.903,1.099,0.933,0.927,0.908
261,Papua New Guinea,Male,2.946,2.923,2.903,3.057,3.167,3.189,3.734,4.024,3.351,3.317,3.225
262,Paraguay,Female,4.188,3.139,4.233,4.636,4.604,5.315,6.717,6.45,6.044,5.26,5.504
263,Paraguay,Male,2.348,2.341,2.746,3.199,3.368,3.383,3.882,3.895,3.952,3.131,3.174
264,Peru,Female,2.306,2.544,2.814,2.81,2.659,2.772,5.612,4.365,3.671,3.442,3.347
265,Peru,Male,1.943,2.315,2.56,2.445,2.134,2.206,6.18,3.871,2.339,1.913,1.907
266,Philippines,Female,1.902,1.66,1.492,1.449,1.608,1.49,1.737,2.781,1.663,1.602,1.569
267,Philippines,Male,2.264,1.849,1.611,1.54,1.38,1.312,1.731,2.354,1.452,1.39,1.353
268,Poland,Female,8.257,6.708,5.303,4.123,3.217,3.095,2.748,2.846,2.406,2.098,2.123
269,Poland,Male,7.097,6.073,5.046,4.006,3.193,2.48,2.523,2.752,2.279,2.168,2.017
270,Portugal,Female,12.683,11.106,9.909,8.169,6.484,6.117,5.967,5.716,5.591,6.02,6.182
271,Portugal,Male,11.873,10.81,9.68,7.29,5.469,5.004,5.479,5.159,4.612,5.005,4.98
272,Puerto Rico,Female,10.024,8.574,8.517,7.867,6.764,6.152,6.547,6.002,4.497,4.662,4.511
273,Puerto Rico,Male,13.56,11.851,11.678,10.701,9.139,8.232,9.065,7.937,5.998,6.228,6.038
274,Qatar,Female,0.639,0.563,0.484,0.401,0.307,0.271,0.372,0.291,0.273,0.287,0.293
275,Qatar,Male,0.027,0.034,0.038,0.035,0.044,0.04,0.056,0.064,0.067,0.063,0.06
276,Romania,Female,4.786,4.568,3.919,3.026,2.644,2.478,3.917,4.036,3.877,3.956,3.857
277,Romania,Male,5.982,6.403,5.55,4.631,3.827,3.369,4.304,4.828,4.83,4.813,4.703
278,Russia,Female,4.031,4.401,4.492,4.269,3.968,3.656,4.792,4.068,3.333,2.693,2.648
279,Russia,Male,4.644,4.903,4.849,4.518,4.053,3.902,4.897,3.899,3.124,2.499,2.493
280,Rwanda,Female,10.846,10.857,10.826,10.921,9.663,10.589,11.396,15.524,14.678,14.596,14.544
281,Rwanda,Male,9.818,9.822,9.786,9.874,8.574,9.033,9.597,12.016,11.633,11.493,11.379
282,Saint Lucia,Female,17.542,17.01,16.242,15.664,16.499,13.774,18.127,17.704,16.04,12.957,14.057
283,Saint Lucia,Male,12.365,11.733,10.997,10.404,11.807,9.09,14.007,12.535,10.39,8.049,8.158
284,Saint Vincent and the Grenadines,Female,12.542,12.568,12.579,12.664,12.767,13.074,13.903,14.152,13.555,12.907,12.439
285,Saint Vincent and the Grenadines,Male,15.47,15.405,15.387,15.443,15.535,15.87,17.461,17.414,16.384,15.466,14.864
286,Samoa,Female,6.124,7.304,8.49,9.812,9.962,10.128,10.592,11.454,10.794,10.24,10.051
287,Samoa,Male,5.66,5.158,4.674,4.299,4.371,4.431,4.929,5.109,4.732,4.35,4.241
288,São Tomé and Príncipe,Female,18.641,18.554,18.592,18.92,19.046,19.251,20.375,20.681,19.458,19.285,19.198
289,São Tomé and Príncipe,Male,8.028,8.038,8.113,8.264,8.323,8.435,9.344,9.411,8.55,8.436,8.344
290,Saudi Arabia,Female,17.61,18.336,18.83,17.942,17.404,18.124,18.398,16.264,14.278,13.399,13.118
291,Saudi Arabia,Male,1.584,1.364,1.533,1.999,1.973,1.522,2.771,2.445,1.932,1.338,1.069
292,Senegal,Female,8.138,6.842,4.222,3.337,3.626,2.33,2.596,2.66,2.486,2.446,2.388
293,Senegal,Male,6.633,6.141,3.651,3.873,2.647,2.711,3.25,3.238,2.869,2.822,2.72
294,Serbia,Female,18.498,16.804,14.587,12.848,12.566,9.966,8.33,9.927,7.996,7.219,6.339
295,Serbia,Male,15.871,14.768,13.052,11.431,10.589,8.5,7.393,8.047,7.268,6.656,5.552
296,Sierra Leone,Female,3.29,3.306,3.048,2.622,2.022,2.031,2.136,2.289,2.086,2.022,1.986
297,Sierra Leone,Male,4.028,4.471,4.591,4.483,4.037,4.057,4.605,4.745,4.146,4.054,3.976
298,Singapore,Female,3.324,3.187,3.669,3.662,3.167,2.766,3.683,4.375,3.376,2.999,3.256
299,Singapore,Male,3.209,3.254,3.545,3.749,3.189,2.71,3.603,4.168,3.203,2.891,3.146
300,Slovakia,Female,11.942,11.895,9.783,7.631,6.496,5.245,6.418,6.466,5.686,5.39,5.302
301,Slovakia,Male,8.857,8.901,7.757,7.018,5.446,4.957,5.546,5.789,5.045,4.623,4.546
302,Slovenia,Female,9.825,9.747,8.181,7.061,5.449,4.669,5.021,4.706,3.773,3.212,3.273
303,Slovenia,Male,8.148,7.292,6.87,5.41,4.296,3.744,3.846,3.723,3.383,3.057,2.769
304,Solomon Islands,Female,0.445,0.451,0.452,0.445,0.442,0.464,0.533,0.659,0.979,1.011,1.001
305,Solomon Islands,Male,0.581,0.587,0.587,0.577,0.572,0.597,0.824,0.868,1.176,1.186,1.159
306,Somalia,Female,21.162,20.566,20.431,20.65,20.985,21.058,21.267,22.074,21.623,21.492,21.424
307,Somalia,Male,13.296,12.901,12.81,12.956,13.183,13.239,13.827,14.18,13.584,13.534,13.491
308,South Africa,Female,20.674,21.498,22.534,22.584,22.99,23.968,22.987,27.442,27.61,27.334,27.594
309,South Africa,Male,17.863,18.206,19.46,19.925,20.292,21.493,21.217,25.298,24.776,23.701,23.88
312,South Sudan,Female,11.838,11.698,12.437,12.714,12.443,11.994,13.084,13.216,11.499,11.076,10.832
313,South Sudan,Male,7.902,7.811,8.359,8.534,8.283,7.907,9.067,9.034,7.412,7.062,6.844
314,Spain,Female,23.351,21.773,19.779,17.747,15.901,14.707,16.006,15.422,13.626,12.845,12.945
315,Spain,Male,21.388,18.78,16.334,13.969,12.174,11.091,12.25,11.538,9.935,9.197,9.238
316,Sri Lanka,Female,3.385,4.561,3.841,3.881,4.046,4.609,4.888,5.063,6.386,6.751,6.714
317,Sri Lanka,Male,1.389,1.23,1.063,1.272,1.263,1.549,1.754,1.825,2.299,2.439,2.329
318,Sudan,Female,26.555,25.507,25.458,25.709,26.011,26.401,28.33,28.646,26.634,30.3,30.532
319,Sudan,Male,8.679,8.344,8.356,8.475,8.616,8.795,9.82,9.999,8.873,11.471,11.301
320,Suriname,Female,9.034,9.861,6.59,6.562,6.371,6.248,7.205,7.178,7.064,6.913,6.733
321,Suriname,Male,2.774,3.532,3.235,3.206,3.111,3.022,3.709,3.687,3.397,3.275,3.13
322,Sweden,Female,5.552,5.434,5.058,4.989,4.886,5.253,6.507,7.097,5.809,5.759,6.544
323,Sweden,Male,5.866,5.664,5.574,5.415,4.961,4.967,6.27,6.354,5.176,5.655,6.526
324,Switzerland,Female,4.404,4.344,4.469,4.614,4.756,4.359,4.588,4.847,4.178,3.763,3.783
325,Switzerland,Male,4.105,4.06,4.285,4.06,3.809,3.489,4.08,4.391,3.617,3.198,3.184
326,Syria,Female,20.851,20.273,19.602,19.153,18.802,18.437,20.193,20.154,19.315,18.919,18.682
327,Syria,Male,6.949,6.604,6.239,5.997,5.818,5.644,6.834,6.788,5.906,5.677,5.57
328,Taiwan,Female,2.718,2.645,2.717,2.581,2.671,2.714,2.984,2.951,2.696,2.751,2.758
329,Taiwan,Male,3.584,3.38,3.547,3.374,3.269,3.182,3.283,3.298,3.134,3.197,3.191
330,Tajikistan,Female,4.262,3.867,3.559,3.605,3.62,3.782,3.62,3.778,3.688,3.668,3.762
331,Tajikistan,Male,6.012,5.755,5.475,5.682,5.717,5.729,5.948,6.016,5.78,5.691,5.779
332,Tanzania,Female,1.922,2.044,2.224,2.406,2.624,2.866,3.239,3.406,3.196,3.106,3.057
333,Tanzania,Male,0.981,0.987,1.027,1.071,1.138,1.22,1.51,1.578,1.332,1.284,1.254
334,Thailand,Female,0.216,0.269,0.305,0.388,0.372,0.293,0.651,0.722,0.544,0.495,0.425
335,Thailand,Male,0.319,0.334,0.365,0.466,0.43,0.387,0.703,0.793,0.533,0.458,0.412
336,East Timor,Female,3.046,3.413,3.787,3.392,2.983,2.517,2.182,1.955,1.427,1.469,1.49
337,East Timor,Male,1.607,1.534,1.445,1.439,1.427,1.372,1.517,1.562,1.115,1.067,1.025
338,Togo,Female,1.187,1.102,1.514,1.94,1.96,1.974,2.015,2.303,2.035,1.969,1.94
339,Togo,Male,2.367,2.49,3.018,3.614,3.654,3.679,4.186,4.48,3.767,3.65,3.597
340,Tonga,Female,1.424,1.506,1.51,1.575,1.67,1.53,1.981,1.357,1.782,1.719,1.675
341,Tonga,Male,1.096,1.156,1.162,1.212,1.284,1.239,1.66,1.328,1.456,1.396,1.358
342,Trinidad and Tobago,Female,2.253,2.419,2.488,2.815,3.073,3.262,3.729,4.214,3.596,3.348,3.163
343,Trinidad and Tobago,Male,1.779,1.591,2.486,2.572,2.573,2.514,3.111,2.833,2.319,2.153,2.031
344,Tunisia,Female,17.925,19.655,20.793,20.216,20.612,23.174,24.609,24.742,24.396,24.335,24.255
345,Tunisia,Male,7.722,9.379,9.332,9.354,9.542,10.662,11.962,11.916,11.337,11.218,11.108
346,Turkmenistan,Female,1.67,1.705,1.774,1.829,1.863,1.937,2.034,2.076,1.917,1.914,1.971
347,Turkmenistan,Male,4.176,4.326,4.459,4.654,4.725,4.76,5.366,5.271,4.857,4.826,4.926
348,Turkey,Female,9.756,10.167,11.192,11.115,11.219,13.221,11.71,11.803,11.073,10.29,10.526
349,Turkey,Male,7.458,7.691,8.005,7.699,7.914,10.386,10.48,9.09,7.552,6.977,7.223
350,Uganda,Female,2.49,2.718,2.943,3.32,3.032,2.731,3.193,2.879,2.535,2.511,2.514
351,Uganda,Male,1.37,1.568,1.761,2.068,1.956,1.831,2.595,2.368,1.895,1.809,1.753
352,Ukraine,Female,6.292,6.99,6.669,7.069,6.615,7.345,8.508,9.519,,,
353,Ukraine,Male,9.524,8.843,9.617,10.301,9.442,7.882,9.073,8.933,,,
354,United Arab Emirates,Female,3.954,3.757,3.582,6.47,5.207,4.986,4.833,5.698,5.204,5.43,5.56
355,United Arab Emirates,Male,0.912,0.791,0.687,0.855,0.93,1.068,3.3,1.927,1.958,1.871,1.804
356,United Kingdom,Female,4.326,3.822,3.632,3.214,2.994,2.704,3.088,3.699,2.932,3.392,3.809
357,United Kingdom,Male,4.372,3.76,3.419,3.092,2.858,2.643,3.328,3.865,2.655,3.181,3.558
358,United States of America,Female,5.054,4.322,4.058,3.707,3.234,3.024,7.347,4.628,3.007,2.904,3.098
359,United States of America,Male,4.988,4.253,3.973,3.53,3.155,2.912,6.794,4.739,2.952,3.063,3.257
360,United States Virgin Islands,Female,12.223,12.099,12.219,11.977,12.077,12.252,14.56,14.07,12.964,12.391,11.909
361,United States Virgin Islands,Male,9.941,9.989,9.965,9.856,10.052,10.026,11.822,11.444,10.466,9.807,9.29
362,Uruguay,Female,5.665,5.963,6.336,6.235,6.855,7.126,8.659,7.628,6.557,6.935,7.16
363,Uruguay,Male,2.877,3.753,3.941,3.983,4.09,4.331,5.355,4.58,4.319,4.922,4.657
364,Uzbekistan,Female,3.212,3.293,3.379,3.886,4.185,4.545,5.461,5.332,4.858,4.699,4.717
365,Uzbekistan,Male,3.929,4.057,4.144,4.803,4.127,3.417,3.212,3.499,2.731,2.61,2.594
366,Vanuatu,Female,4.278,4.402,4.448,4.521,4.594,4.745,2.683,3.656,4.539,4.546,4.507
367,Vanuatu,Male,2.762,2.785,2.75,2.727,2.706,2.731,2.486,2.8,2.593,2.575,2.527
368,Venezuela,Female,5.791,5.053,4.238,4.707,5.205,5.664,6.981,6.737,5.332,5.678,5.156
369,Venezuela,Male,5.093,4.729,4.319,3.408,4.092,4.715,6.545,6.014,4.687,4.781,4.263
370,Vietnam,Female,0.407,0.811,0.821,0.815,0.51,0.994,1.697,1.726,0.921,0.965,0.881
371,Vietnam,Male,0.707,1.105,1.068,1.101,0.687,1.071,1.18,1.881,1.092,1.136,1.223
372,Yemen,Female,22.478,25.894,26.532,26.819,25.798,25.482,25.501,26.735,26.505,26.442,26.319
373,Yemen,Male,8.398,11.705,12.169,12.396,11.732,11.541,12.301,12.781,11.981,11.961,11.904
374,Zambia,Female,5.39,5.782,6.115,6.476,4.183,4.338,5.211,4.448,3.998,3.917,3.901
375,Zambia,Male,5.136,5.341,5.469,5.612,3.796,4.026,3.934,3.558,2.833,2.696,2.621
376,Zimbabwe,Female,4.262,4.586,4.773,4.9,5.027,5.309,6.345,7.792,7.704,7.597,7.528
377,Zimbabwe,Male,3.677,4.325,4.843,5.287,5.722,6.362,6.996,7.234,6.858,6.757,6.703
